"listS","pair","EPairClass"
"{1,2}, {3,4}","3-5",0.482
"{1,2}, {3,4}","1-3, 6-7",0.488
"{1,2}, {3,4}","1-2, 3-4",0.278
"{1,2}, {3,4}","3-4",0.38
"{1,2}, {3,4}","2-7",0.498
"{1,2}, {3,4}","4-9",0.506
"{1,2}, {3,4}","3-6, 4-10",0.544
"{1,2}, {3,4}","1-7, 8-9",0.48
"{1,2}, {3,4}","1-8, 2-7",0.484
"{1,2}, {3,4}","6-7",0.474
"{1,2}, {3,4}","5-10, 8-9",0.508
"{1,2}, {3,4}","5-6, 7-8",0.522
"{1,2}, {3,4}","2-4, 9-10",0.476
"{1,2}, {3,4}","1-6, 5-9",0.508
"{1,2}, {3,4}","1-8, 3-4",0.374
"{1,2}, {3,4}","4-9, 5-7",0.5
"{1,2}, {3,4}","2-8",0.498
"{1,2}, {3,4}","1-2, 3-5, 4-7, 8-10",0.446
"{1,2}, {3,4}","1-10, 2-4, 8-9",0.498
"{1,2}, {3,4}","5-6, 7-10",0.498
"{1,2}, {3,4}","1-2",0.368
"{1,2}, {3,4}","3-6, 7-8",0.496
"{1,2}, {3,4}","1-4, 2-8, 5-10",0.54
"{1,2}, {3,4}","3-4",0.418
"{1,2}, {3,4}","3-4",0.364
"{1,2}, {3,4}","2-6, 3-4",0.342
"{1,2}, {3,4}","1-2, 3-9, 4-6",0.426
"{1,2}, {3,4}","1-7, 2-5",0.446
"{1,2}, {3,4}","3-5",0.476
"{1,2}, {3,4}","1-9",0.478
"{1,2}, {3,4}","3-8",0.488
"{1,2}, {3,4}","4-8",0.506
"{1,2}, {3,4}","6-8",0.472
"{1,2}, {3,4}","3-4",0.372
"{1,2}, {3,4}","1-10",0.484
"{1,2}, {3,4}","1-6",0.474
"{1,2}, {3,4}","2-6",0.494
"{1,2}, {3,4}","1-2",0.36
"{1,2}, {3,4}","1-2, 3-6",0.428
"{1,2}, {3,4}","7-10",0.506
"{1,2}, {3,4}","1-2, 7-9",0.398
"{1,2}, {3,4}","1-9",0.474
"{1,2}, {3,4}","1-2",0.386
"{1,2}, {3,4}","1-2",0.386
"{1,2}, {3,4}","1-2, 4-8",0.362
"{1,2}, {3,4}","3-4, 5-7",0.336
"{1,2}, {3,4}","1-4",0.514
"{1,2}, {3,4}","1-2, 4-8, 7-10",0.348
"{1,2}, {3,4}","3-4, 8-10",0.38
"{1,2}, {3,4}","3-4, 6-8",0.428
"{1,2}, {3,4}","8-9",0.524
"{1,2}, {3,4}","1-7, 6-8",0.49
"{1,2}, {3,4}","1-10, 7-9",0.522
"{1,2}, {3,4}","3-5",0.546
"{1,2}, {3,4}","2-5, 3-6",0.508
"{1,2}, {3,4}","3-4, 8-9",0.434
"{1,2}, {3,4}","1-2, 3-9",0.38
"{1,2}, {3,4}","1-9",0.49
"{1,2}, {3,4}","1-10, 3-5, 4-6, 8-9",0.506
"{1,2}, {3,4}","1-2, 7-10, 8-9",0.386
"{1,2}, {3,4}","3-4, 7-10",0.452
"{1,2}, {3,4}","1-2, 7-9",0.382
"{1,2}, {3,4}","5-8",0.512
"{1,2}, {3,4}","2-6, 7-8",0.518
"{1,2}, {3,4}","1-2, 5-9",0.454
"{1,2}, {3,4}","2-10",0.482
"{1,2}, {3,4}","1-8",0.462
"{1,2}, {3,4}","1-2, 8-10",0.388
"{1,2}, {3,4}","3-4, 5-6, 8-10",0.438
"{1,2}, {3,4}","3-4, 7-8",0.452
"{1,2}, {3,4}","1-2, 8-9",0.398
"{1,2}, {3,4}","1-5",0.516
"{1,2}, {3,4}","1-2, 3-4",0.334
"{1,2}, {3,4}","1-2, 3-4, 9-10",0.334
"{1,2}, {3,4}","3-4",0.396
"{1,2}, {3,4}","3-4",0.4
"{1,2}, {3,4}","1-5, 2-8, 6-10, 7-9",0.49
"{1,2}, {3,4}","4-9",0.506
"{1,2}, {3,4}","2-3",0.472
"{1,2}, {3,4}","4-8",0.502
"{1,2}, {3,4}","6-8",0.496
"{1,2}, {3,4}","6-9, 8-10",0.486
"{1,2}, {3,4}","1-2, 4-5",0.416
"{1,2}, {3,4}","1-2, 4-7, 5-6",0.464
"{1,2}, {3,4}","2-3, 5-7",0.496
"{1,2}, {3,4}","1-7, 3-10",0.468
"{1,2}, {3,4}","1-9, 2-5, 3-4, 7-10",0.496
"{1,2}, {3,4}","6-10",0.5
"{1,2}, {3,4}","2-7",0.522
"{1,2}, {3,4}","7-9",0.506
"{1,2}, {3,4}","3-7",0.518
"{1,2}, {3,4}","3-4",0.422
"{1,2}, {3,4}","6-7",0.5
"{1,2}, {3,4}","3-4",0.314
"{1,2}, {3,4}","3-7",0.522
"{1,2}, {3,4}","3-4",0.394
"{1,2}, {3,4}","5-9",0.482
"{1,2}, {3,4}","1-2",0.396
"{1,2}, {3,4}","1-2, 3-6, 4-7",0.4
"{1,2}, {3,4}","3-10, 4-7",0.47
