listS,listShat,matching_pairs,matching_standalone
"1, 2, 3, 4","1, 4",0,2
"1, 2, 3, 4",3,0,1
"1, 2, 3, 4","2, 3",0,2
"1, 2, 3, 4","3, 4",0,2
"1, 2, 3, 4","1, 4",0,2
"1, 2, 3, 4",4,0,1
"1, 2, 3, 4",2,0,1
"1, 2, 3, 4","1, 4",0,2
"1, 2, 3, 4","1, 2",0,2
"1, 2, 3, 4","2, 4",0,2
"1, 2, 3, 4","2, 4",0,2
"1, 2, 3, 4",2,0,1
"1, 2, 3, 4","2, 4",0,2
"1, 2, 3, 4","2, 4",0,2
"1, 2, 3, 4","1, 3",0,2
"1, 2, 3, 4","1, 4",0,2
"1, 2, 3, 4","1, 4",0,2
"1, 2, 3, 4","1, 3",0,2
"1, 2, 3, 4","1, 4",0,2
"1, 2, 3, 4","1, 3",0,2
"1, 2, 3, 4","2, 3",0,2
"1, 2, 3, 4",2,0,1
"1, 2, 3, 4",1,0,1
"1, 2, 3, 4",1,0,1
"1, 2, 3, 4",2,0,1
"1, 2, 3, 4",3,0,1
"1, 2, 3, 4","2, 4",0,2
"1, 2, 3, 4",2,0,1
"1, 2, 3, 4",3,0,1
"1, 2, 3, 4","2, 3",0,2
"1, 2, 3, 4",1,0,1
"1, 2, 3, 4",1,0,1
"1, 2, 3, 4",1,0,1
"1, 2, 3, 4",2,0,1
"1, 2, 3, 4","{4,7}, 3",0,1
"1, 2, 3, 4","1, 4",0,2
"1, 2, 3, 4",2,0,1
"1, 2, 3, 4","3, 4",0,2
"1, 2, 3, 4","3, 4",0,2
"1, 2, 3, 4","1, 4",0,2
"1, 2, 3, 4","3, 4",0,2
"1, 2, 3, 4","3, 4",0,2
"1, 2, 3, 4","2, 3",0,2
"1, 2, 3, 4",2,0,1
"1, 2, 3, 4",3,0,1
"1, 2, 3, 4","2, 4",0,2
"1, 2, 3, 4","2, 4",0,2
"1, 2, 3, 4","1, 2",0,2
"1, 2, 3, 4","1, 4",0,2
"1, 2, 3, 4","2, 4",0,2
"1, 2, 3, 4",2,0,1
"1, 2, 3, 4",1,0,1
"1, 2, 3, 4",4,0,1
"1, 2, 3, 4",3,0,1
"1, 2, 3, 4",4,0,1
"1, 2, 3, 4",2,0,1
"1, 2, 3, 4","1, 3",0,2
"1, 2, 3, 4","2, 3",0,2
"1, 2, 3, 4","2, 3",0,2
"1, 2, 3, 4",3,0,1
"1, 2, 3, 4","3, 4",0,2
"1, 2, 3, 4","3, 4",0,2
"1, 2, 3, 4",3,0,1
"1, 2, 3, 4","2, 3",0,2
"1, 2, 3, 4","2, 4",0,2
"1, 2, 3, 4",1,0,1
"1, 2, 3, 4","2, 3",0,2
"1, 2, 3, 4",4,0,1
"1, 2, 3, 4",3,0,1
"1, 2, 3, 4",3,0,1
"1, 2, 3, 4",4,0,1
"1, 2, 3, 4",4,0,1
"1, 2, 3, 4","3, 4",0,2
"1, 2, 3, 4","2, 3",0,2
"1, 2, 3, 4",1,0,1
"1, 2, 3, 4",1,0,1
"1, 2, 3, 4","3, 4",0,2
"1, 2, 3, 4",3,0,1
"1, 2, 3, 4",3,0,1
"1, 2, 3, 4",2,0,1
"1, 2, 3, 4",1,0,1
"1, 2, 3, 4","1, 4",0,2
"1, 2, 3, 4",3,0,1
"1, 2, 3, 4","2, 3",0,2
"1, 2, 3, 4",2,0,1
"1, 2, 3, 4","3, 4",0,2
"1, 2, 3, 4","1, 3",0,2
"1, 2, 3, 4","3, 4",0,2
"1, 2, 3, 4","3, 4",0,2
"1, 2, 3, 4",3,0,1
"1, 2, 3, 4","1, 2, 4",0,3
"1, 2, 3, 4",3,0,1
"1, 2, 3, 4",1,0,1
"1, 2, 3, 4","1, 2",0,2
"1, 2, 3, 4","1, 2",0,2
"1, 2, 3, 4","1, 4",0,2
"1, 2, 3, 4",2,0,1
"1, 2, 3, 4","2, 3",0,2
"1, 2, 3, 4",3,0,1
"1, 2, 3, 4","1, 3",0,2
